Unique Junction ID,JCR ID,Latitude,Longitude,maid,male,female,high,medium,low,Peak/ Non-Peak,Weekday - Total Car,Weekday - Hatchback,Weekday - Sedan,Weekday -  SUV,City,Weekday - Sum,mean_maid,std_maid,mean_weekday_sum,std_weekday_sum
J3,JCR13,23.021047,72.543308,155.0,68.0,87.0,1.0,100.0,54.0,1.0,5460.0,2678.0,2363.0,420.0,Ahmedabad,17269.0,219.0,20.23857702507763,28294.5,3486.5692342186467
J3,JCR14,23.022005,72.544477,364.0,321.0,43.0,7.0,99.0,257.0,0.0,6120.0,2790.0,2835.0,495.0,Ahmedabad,18225.0,219.0,45.8530260724415,28294.5,3184.2554899065494
J3,JCR14,23.022005,72.544477,364.0,321.0,43.0,7.0,99.0,257.0,1.0,8558.0,3938.0,3885.0,735.0,Ahmedabad,22046.0,219.0,45.8530260724415,28294.5,1975.949195956212
J3,JCR15,23.022498000000002,72.541162,256.0,214.0,42.0,11.0,57.0,187.0,0.0,4995.0,2565.0,2295.0,135.0,Ahmedabad,16740.0,219.0,11.700427342623003,28294.5,3653.853722441554
J3,JCR15,23.022498000000002,72.541162,256.0,214.0,42.0,11.0,57.0,187.0,1.0,7455.0,3360.0,3098.0,998.0,Ahmedabad,21894.0,219.0,11.700427342623003,28294.5,2024.015816390771
J4,JCR16,23.014601000000003,72.53059,67.0,54.0,13.0,3.0,11.0,52.0,0.0,16515.0,9585.0,4410.0,2520.0,Ahmedabad,63045.0,2096.0,641.6261372481641,29964.0,10461.130727603015
J4,JCR16,23.014601000000003,72.53059,67.0,54.0,13.0,3.0,11.0,52.0,1.0,23519.0,12600.0,7244.0,3674.0,Ahmedabad,86778.0,2096.0,641.6261372481641,29964.0,17966.16429848063
J4,JCR17,23.013742,72.530683,578.0,354.0,224.0,235.0,99.0,244.0,0.0,4230.0,2295.0,1080.0,855.0,Ahmedabad,19620.0,2096.0,480.03374881355995,29964.0,3271.0600116781716
J4,JCR17,23.013742,72.530683,578.0,354.0,224.0,235.0,99.0,244.0,1.0,5880.0,2520.0,2048.0,1313.0,Ahmedabad,27297.0,2096.0,480.03374881355995,29964.0,843.3794519669068
J4,JCR18,23.015233,72.530458,1369.0,1081.0,288.0,82.0,278.0,1009.0,0.0,4185.0,2880.0,945.0,360.0,Ahmedabad,17415.0,2096.0,229.8975858942412,29964.0,3968.342235745299
J4,JCR18,23.015233,72.530458,1369.0,1081.0,288.0,82.0,278.0,1009.0,1.0,6143.0,3780.0,1785.0,578.0,Ahmedabad,24986.0,2096.0,229.8975858942412,29964.0,1574.1818192318192
J4,JCR19,23.014354,72.52927700000001,6026.0,4648.0,1378.0,295.0,2631.0,3100.0,0.0,4725.0,2745.0,1440.0,540.0,Ahmedabad,16515.0,2096.0,1242.775120446173,29964.0,4252.947225160454
J4,JCR19,23.014354,72.52927700000001,6026.0,4648.0,1378.0,295.0,2631.0,3100.0,1.0,7613.0,4200.0,2363.0,1050.0,Ahmedabad,24309.0,2096.0,1242.775120446173,29964.0,1788.2680168252184
J4,JCR20,23.014828,72.53145500000001,2440.0,1839.0,601.0,702.0,975.0,762.0,0.0,3375.0,1665.0,945.0,765.0,Ahmedabad,9495.0,2096.0,108.78235150979225,29964.0,6472.866142598656
J4,JCR20,23.014828,72.53145500000001,2440.0,1839.0,601.0,702.0,975.0,762.0,1.0,3885.0,2100.0,1050.0,735.0,Ahmedabad,10180.0,2096.0,108.78235150979225,29964.0,6256.250122877122
J5,JCR21,23.049835,72.51729300000001,30.0,23.0,7.0,10.0,2.0,18.0,0.0,13140.0,5580.0,5850.0,1710.0,Ahmedabad,51345.0,1016.8,312.05355950541565,25030.5,8321.375548850083
J5,JCR21,23.049835,72.51729300000001,30.0,23.0,7.0,10.0,2.0,18.0,1.0,19162.0,7034.0,9974.0,2151.0,Ahmedabad,73809.0,1016.8,312.05355950541565,25030.5,15425.116084652329
J5,JCR22,23.049781,72.51890300000001,27.0,21.0,6.0,13.0,10.0,4.0,0.0,3240.0,1350.0,1530.0,360.0,Ahmedabad,11160.0,1016.8,313.0022428034662,25030.5,4386.23722853655
J5,JCR22,23.049781,72.51890300000001,27.0,21.0,6.0,13.0,10.0,4.0,1.0,4988.0,1785.0,2730.0,473.0,Ahmedabad,17903.0,1016.8,313.0022428034662,25030.5,2253.9134022850126
J5,JCR23,23.049741,72.515662,409.0,335.0,74.0,211.0,92.0,106.0,0.0,3825.0,1890.0,1440.0,495.0,Ahmedabad,13500.0,1016.8,192.2032361850341,25030.5,3646.26425605715
J5,JCR23,23.049741,72.515662,409.0,335.0,74.0,211.0,92.0,106.0,1.0,5880.0,2468.0,2625.0,788.0,Ahmedabad,18844.0,1016.8,192.2032361850341,25030.5,1956.3430744631678
J5,JCR24,23.04826,72.516671,2098.0,1835.0,263.0,354.0,1132.0,613.0,0.0,3915.0,1395.0,1935.0,585.0,Ahmedabad,14040.0,1016.8,341.9054606174052,25030.5,3475.5012624080573
J5,JCR24,23.04826,72.516671,2098.0,1835.0,263.0,354.0,1132.0,613.0,1.0,3780.0,1103.0,2153.0,525.0,Ahmedabad,18792.0,1016.8,341.9054606174052,25030.5,1972.7869182960435
